City 1,C1Pop,City 2,C2Pop,Distance km,Source Pop,Year,Gravity,Has HSR,normalized
Cape Town,3430992,Johannesburg,7860781,1262.44,Citypop,2011,16922476.1,FALSE,0.127414341
Riyadh,5188286,Jeddah,3430697,843.56,Citypop,2010,25013491.38,FALSE,0.188333994
Sydney,4321534,Melbourne,4196201,714.97,Citypop,2016,35474687.51,FALSE,0.267099442
Madrid,6550000,Barcelona,5185905,505.72,Wiki,,132814532.6,TRUE,1
Delhi,16349831,Mumbai,18394912,1152.47,Citypop,2011,226439258.6,FALSE,1.704928326
Moscow,17300000,St. Petersburg,5650000,634.58,Wiki,,242729069.1,TRUE,1.827579139
Bogota,7715800,Medellin,2490200,241.86,Citypop,2020,328463482.8,FALSE,2.473098963
Beijing,18960744,Shanghai,21909814,1067.77,Citypop,2020,364366663.4,TRUE,2.743424657
Tokyo,14064696,Osaka,8842523,405.69,Citypop,2020,755645224.7,TRUE,5.689476973
London,14800000,Paris,11400000,342.15,Wiki,,1441230612,TRUE,10.85145265
Sao Paulo,22048504,Rio De Janeiro,12763305,357.01,Citypop,2021,2207910746,FALSE,16.62401473
